===Testing batch size: 256, Ephocs: 10 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,256,0.8126333333333333,-1.0944293633142825,0.8228
2,256,0.8384,-0.7983268272336406,0.847
3,256,0.8514166666666667,-0.6718924998844217,0.8599
4,256,0.85985,-0.6005459004225419,0.8672
5,256,0.8650333333333333,-0.5540113111813574,0.8735
6,256,0.8693333333333333,-0.5208893088799165,0.8782
7,256,0.8729666666666667,-0.49589992768085783,0.8815
8,256,0.8757666666666667,-0.47624652214880897,0.8842
9,256,0.87825,-0.46030177450810916,0.8859
10,256,0.8803833333333333,-0.4470504010112889,0.888
