===Testing batch size: 1024, Ephocs: 10 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,1024,0.7350666666666666,-1.7954700363624914,0.7384
2,1024,0.7775,-1.4656523557598917,0.7882
3,1024,0.7984166666666667,-1.2485865420969606,0.8107
4,1024,0.8120833333333334,-1.0999021039861836,0.822
5,1024,0.8217333333333333,-0.9931990323833124,0.8318
6,1024,0.8284333333333334,-0.9133217690058347,0.8372
7,1024,0.8337333333333333,-0.8513698430901045,0.8418
8,1024,0.8382333333333334,-0.8019006711307882,0.8467
9,1024,0.8425666666666667,-0.7614424261157456,0.8518
10,1024,0.8457833333333333,-0.727692068382595,0.855
