===Testing batch size: 64, Ephocs: 10 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,64,0.8581666666666666,-0.5996326355284074,0.8673
2,64,0.8753166666666666,-0.47590365465757367,0.8831
3,64,0.8837166666666667,-0.425970917465355,0.8907
4,64,0.8889,-0.3976630797433042,0.8963
5,64,0.89295,-0.37896091001481075,0.9
6,64,0.8960333333333333,-0.36547215826397167,0.9028
7,64,0.8986333333333333,-0.3551738666617688,0.9051
8,64,0.9003833333333333,-0.3469915719702396,0.9064
9,64,0.9022166666666667,-0.34029612621303756,0.908
10,64,0.9029833333333334,-0.33469193533198566,0.9091
