===Testing batch size: 64, Ephocs: 100 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,64,0.8581666666666666,-0.5996326355284074,0.8673
2,64,0.8753166666666666,-0.47590365465757367,0.8831
3,64,0.8837166666666667,-0.425970917465355,0.8907
4,64,0.8889,-0.3976630797433042,0.8963
5,64,0.89295,-0.37896091001481075,0.9
6,64,0.8960333333333333,-0.36547215826397167,0.9028
7,64,0.8986333333333333,-0.3551738666617688,0.9051
8,64,0.9003833333333333,-0.3469915719702396,0.9064
9,64,0.9022166666666667,-0.34029612621303756,0.908
10,64,0.9029833333333334,-0.33469193533198566,0.9091
11,64,0.9043833333333333,-0.32991634618784194,0.9101
12,64,0.9055833333333333,-0.32578731087516705,0.9112
13,64,0.9064666666666666,-0.32217417574945095,0.9117
14,64,0.9072833333333333,-0.31898042968022694,0.9127
15,64,0.90825,-0.31613303173486,0.9139
16,64,0.9092333333333333,-0.31357554803274507,0.9143
17,64,0.90985,-0.31126359046042007,0.9148
18,64,0.9104666666666666,-0.3091616981126861,0.9155
19,64,0.9111333333333334,-0.30724115192242735,0.916
20,64,0.9118333333333334,-0.30547840971055434,0.9163
21,64,0.91265,-0.3038539638115629,0.9169
22,64,0.9131666666666667,-0.30235149276446077,0.9175
23,64,0.9138333333333334,-0.3009572216046696,0.9176
24,64,0.9143,-0.29965943270812495,0.9178
25,64,0.9147,-0.29844808700366926,0.9183
26,64,0.91505,-0.29731452725377666,0.9188
27,64,0.91545,-0.29625124315827395,0.9189
28,64,0.9157166666666666,-0.29525168358874615,0.9193
29,64,0.916,-0.2943101051498872,0.919
30,64,0.91625,-0.29342144902637257,0.9193
31,64,0.9165166666666666,-0.29258124006222685,0.9196
32,64,0.9169666666666667,-0.29178550346859294,0.9195
33,64,0.91735,-0.2910306956237133,0.9199
34,64,0.9176166666666666,-0.290313646224398,0.9197
35,64,0.9179,-0.2896315096466729,0.9198
36,64,0.9180333333333334,-0.2889817238276795,0.9199
37,64,0.91825,-0.28836197532892266,0.9199
38,64,0.9184833333333333,-0.2877701695097181,0.92
39,64,0.9187333333333333,-0.28720440494884225,0.9202
40,64,0.91905,-0.28666295141634224,0.9204
41,64,0.9191166666666667,-0.2861442308268764,0.9205
42,64,0.9192833333333333,-0.28564680070877607,0.9206
43,64,0.9193666666666667,-0.28516933980521436,0.9207
44,64,0.91965,-0.284710635489967,0.9206
45,64,0.9199333333333334,-0.28426957273369646,0.9205
46,64,0.9201166666666667,-0.2838451244001442,0.9206
47,64,0.92025,-0.2834363426871161,0.9208
48,64,0.9203833333333333,-0.28304235155629737,0.921
49,64,0.9206166666666666,-0.28266234001997065,0.9213
50,64,0.9207666666666666,-0.28229555617263286,0.9214
51,64,0.9209833333333334,-0.28194130187207106,0.9217
52,64,0.9211,-0.2815989279882998,0.9217
53,64,0.9212,-0.28126783015036555,0.9218
54,64,0.9213833333333333,-0.28094744493078994,0.9218
55,64,0.9215,-0.2806372464156705,0.9219
56,64,0.92155,-0.2803367431154465,0.9223
57,64,0.92165,-0.2800454751772792,0.9224
58,64,0.9218166666666666,-0.2797630118650629,0.9222
59,64,0.9218833333333334,-0.27948894927741663,0.9222
60,64,0.92185,-0.2792229082777245,0.9223
61,64,0.9218833333333334,-0.2789645326134912,0.9223
62,64,0.9220333333333334,-0.2787134872050372,0.9223
63,64,0.9222166666666667,-0.2784694565859427,0.9223
64,64,0.9223,-0.27823214347971836,0.9222
65,64,0.92235,-0.27800126749897747,0.922
66,64,0.9224666666666667,-0.27777656395494654,0.9219
67,64,0.9226166666666666,-0.2775577827665218,0.922
68,64,0.9227666666666666,-0.27734468745926893,0.9219
69,64,0.9229833333333334,-0.27713705424581464,0.922
70,64,0.9230833333333334,-0.2769346711799971,0.9221
71,64,0.9231833333333334,-0.27673733737795153,0.9223
72,64,0.9233833333333333,-0.2765448623000222,0.9226
73,64,0.9234833333333333,-0.2763570650880216,0.9227
74,64,0.92365,-0.2761737739529183,0.9224
75,64,0.92375,-0.27599482560852523,0.9222
76,64,0.9238666666666666,-0.27582006474720294,0.9222
77,64,0.9239,-0.2756493435539839,0.9221
78,64,0.924,-0.2754825212558663,0.9222
79,64,0.92415,-0.2753194637033441,0.9222
80,64,0.9241833333333334,-0.2751600429815101,0.9224
81,64,0.92425,-0.275004137048323,0.9225
82,64,0.9243333333333333,-0.274851629397847,0.9225
83,64,0.9243666666666667,-0.27470240874647556,0.9226
84,64,0.9244666666666667,-0.2745563687403283,0.9226
85,64,0.9245666666666666,-0.2744134076821718,0.9227
86,64,0.9246333333333333,-0.2742734282763606,0.9229
87,64,0.9247166666666666,-0.27413633739042487,0.923
88,64,0.9247666666666666,-0.2740020458320508,0.9231
89,64,0.9248833333333333,-0.27387046814030563,0.9231
90,64,0.9249166666666667,-0.27374152239005645,0.923
91,64,0.925,-0.27361513000861876,0.9232
92,64,0.9251,-0.27349121560375317,0.9232
93,64,0.9251166666666667,-0.27336970680219574,0.9233
94,64,0.9251333333333334,-0.27325053409797917,0.9233
95,64,0.9252666666666667,-0.27313363070985597,0.9231
96,64,0.9253166666666667,-0.2730189324471944,0.9232
97,64,0.92545,-0.2729063775837626,0.9233
98,64,0.9255166666666667,-0.27279590673886633,0.9234
99,64,0.9256,-0.2726874627653427,0.9234
100,64,0.9256,-0.2725809906439542,0.9234
